,date,ticker,marketcap
997,3/25/2020,ACIW,2782.5
998,3/24/2020,ACIW,2630.4
999,3/23/2020,ACIW,2496.8
1000,3/20/2020,ACIW,2565.3
1001,3/19/2020,ACIW,2772
1002,3/18/2020,ACIW,2460.8
1003,3/17/2020,ACIW,2953.2
1004,3/16/2020,ACIW,2652.4
1005,3/13/2020,ACIW,3103
1006,3/12/2020,ACIW,2943.3
1007,3/11/2020,ACIW,3035.6
1008,3/10/2020,ACIW,3266.7
1009,3/9/2020,ACIW,3360.8
1010,3/6/2020,ACIW,3459.5
1011,3/5/2020,ACIW,3415.4
1012,3/4/2020,ACIW,3486.2
1013,3/3/2020,ACIW,3334.1
1014,3/2/2020,ACIW,3395.7
1015,2/28/2020,ACIW,3236.6
1016,2/27/2020,ACIW,3276
1017,2/26/2020,ACIW,3444.8
1018,2/25/2020,ACIW,3565.1
1019,2/24/2020,ACIW,3736.1
1020,2/21/2020,ACIW,3820.5
1021,2/20/2020,ACIW,3895.7
1022,2/19/2020,ACIW,3933.8
1023,2/18/2020,ACIW,3842.5
1024,2/14/2020,ACIW,4155.8
1025,2/13/2020,ACIW,4123.4
1026,2/12/2020,ACIW,4108.4
1027,2/11/2020,ACIW,4087
1028,2/10/2020,ACIW,4070.2
1029,2/7/2020,ACIW,3996.8
1030,2/6/2020,ACIW,4061.6
1031,2/5/2020,ACIW,4111.8
1032,2/4/2020,ACIW,4108.4
1033,2/3/2020,ACIW,4017.1
1034,1/31/2020,ACIW,3982.4
1035,1/30/2020,ACIW,4077.2
1036,1/29/2020,ACIW,4022.8
1037,1/28/2020,ACIW,4098
1038,1/27/2020,ACIW,4091
1039,1/24/2020,ACIW,4144.2
1040,1/23/2020,ACIW,4230.9
1041,1/22/2020,ACIW,4249.4
1042,1/21/2020,ACIW,4271.4
1043,1/17/2020,ACIW,4311.8
1044,1/16/2020,ACIW,4381.2
1045,1/15/2020,ACIW,4384.7
1046,1/14/2020,ACIW,4285.8
1047,1/13/2020,ACIW,4514.7
1048,1/10/2020,ACIW,4451.7
1049,1/9/2020,ACIW,4500.3
1050,1/8/2020,ACIW,4477.1
1051,1/7/2020,ACIW,4457.5
1052,1/6/2020,ACIW,4443.6
1053,1/3/2020,ACIW,4422.8
1054,1/2/2020,ACIW,4415.9
1055,12/31/2019,ACIW,4379.5
1056,12/30/2019,ACIW,4344.2
1057,12/27/2019,ACIW,4360.4
1058,12/26/2019,ACIW,4370.2
1059,12/24/2019,ACIW,4323.4
1060,12/23/2019,ACIW,4356.3
1061,12/20/2019,ACIW,4375.4
1062,12/19/2019,ACIW,4339.6
1063,12/18/2019,ACIW,4273.7
1064,12/17/2019,ACIW,4212.4
1065,12/16/2019,ACIW,4265.6
1066,12/13/2019,ACIW,4213.6
1067,12/12/2019,ACIW,4187
1068,12/11/2019,ACIW,4204.3
1069,12/10/2019,ACIW,4191.6
1070,12/9/2019,ACIW,4182.4
1071,12/6/2019,ACIW,4208.9
1072,12/5/2019,ACIW,4167.3
1073,12/4/2019,ACIW,4178.9
1074,12/3/2019,ACIW,4235.5
1075,12/2/2019,ACIW,4245.9
1076,11/29/2019,ACIW,4334.9
1077,11/27/2019,ACIW,4368.5
1078,11/26/2019,ACIW,4359.2
1079,11/25/2019,ACIW,4329.2
1080,11/22/2019,ACIW,4234.4
1081,11/21/2019,ACIW,4189.3
1082,11/20/2019,ACIW,4207.8
1083,11/19/2019,ACIW,4206.6
1084,11/18/2019,ACIW,3895.7
1085,11/15/2019,ACIW,3898
1086,11/14/2019,ACIW,3885.3
1087,11/13/2019,ACIW,3948.3
1088,11/12/2019,ACIW,3902.6
1089,11/11/2019,ACIW,3893.9
1090,11/8/2019,ACIW,3976.6
1091,11/7/2019,ACIW,3930.4
1092,11/6/2019,ACIW,3690.5
1093,11/5/2019,ACIW,3724.4
1094,11/4/2019,ACIW,3711.5
1095,11/1/2019,ACIW,3713.9
1096,10/31/2019,ACIW,3663.7
1097,10/30/2019,ACIW,3736
1098,10/29/2019,ACIW,3725.5
1099,10/28/2019,ACIW,3706.9
1100,10/25/2019,ACIW,3634.5
1101,10/24/2019,ACIW,3635.7
1102,10/23/2019,ACIW,3589
1103,10/22/2019,ACIW,3598.3
1104,10/21/2019,ACIW,3644.4
1105,10/18/2019,ACIW,3614.1
1106,10/17/2019,ACIW,3680
1107,10/16/2019,ACIW,3652.6
1108,10/15/2019,ACIW,3652
1109,10/14/2019,ACIW,3537.6
1110,10/11/2019,ACIW,3598.3
1111,10/10/2019,ACIW,3569.1
1112,10/9/2019,ACIW,3580.8
1113,10/8/2019,ACIW,3521.3
1114,10/7/2019,ACIW,3558.6
1115,10/4/2019,ACIW,3568
1116,10/3/2019,ACIW,3504.9
1117,10/2/2019,ACIW,3475.8
1118,10/1/2019,ACIW,3532.9
1119,9/30/2019,ACIW,3656.1
1120,9/27/2019,ACIW,3580.8
1121,9/26/2019,ACIW,3664.8
1122,9/25/2019,ACIW,3673
1123,9/24/2019,ACIW,3558.6
1124,9/23/2019,ACIW,3654.3
1125,9/20/2019,ACIW,3718.5
1126,9/19/2019,ACIW,3753.5
1127,9/18/2019,ACIW,3794.4
1128,9/17/2019,ACIW,3816.6
1129,9/16/2019,ACIW,3834.1
1130,9/13/2019,ACIW,3825.9
1131,9/12/2019,ACIW,3839.9
1132,9/11/2019,ACIW,3730.2
1133,9/10/2019,ACIW,3592.5
1134,9/9/2019,ACIW,3653.2
1135,9/6/2019,ACIW,3617
1136,9/5/2019,ACIW,3579.6
1137,9/4/2019,ACIW,3417.4
1138,9/3/2019,ACIW,3356.7
1139,8/30/2019,ACIW,3475.8
1140,8/29/2019,ACIW,3457.1
1141,8/28/2019,ACIW,3383.6
1142,8/27/2019,ACIW,3338
1143,8/26/2019,ACIW,3331
1144,8/23/2019,ACIW,3326.4
1145,8/22/2019,ACIW,3433.7
1146,8/21/2019,ACIW,3416.2
1147,8/20/2019,ACIW,3378.9
1148,8/19/2019,ACIW,3448.9
1149,8/16/2019,ACIW,3430.2
1150,8/15/2019,ACIW,3347.4
1151,8/14/2019,ACIW,3364.9
1152,8/13/2019,ACIW,3389.4
1153,8/12/2019,ACIW,3335.7
1154,8/9/2019,ACIW,3403.4
1155,8/8/2019,ACIW,3601.8
1156,8/7/2019,ACIW,3514.4
1157,8/6/2019,ACIW,3534.2
1158,8/5/2019,ACIW,3488.7
1159,8/2/2019,ACIW,3671.7
1160,8/1/2019,ACIW,3834.9
1161,7/31/2019,ACIW,3911.9
1162,7/30/2019,ACIW,3964.3
1163,7/29/2019,ACIW,3945.7
1164,7/26/2019,ACIW,3906
1165,7/25/2019,ACIW,3860.6
1166,7/24/2019,ACIW,3914.2
1167,7/23/2019,ACIW,3924.7
1168,7/22/2019,ACIW,3929.3
1169,7/19/2019,ACIW,3957.3
1170,7/18/2019,ACIW,3993.5
1171,7/17/2019,ACIW,3966.6
1172,7/16/2019,ACIW,3984.1
1173,7/15/2019,ACIW,4038.9
1174,7/12/2019,ACIW,4057.6
1175,7/11/2019,ACIW,4003.9
1176,7/10/2019,ACIW,3983
1177,7/9/2019,ACIW,3917.7
1178,7/8/2019,ACIW,3941
1179,7/5/2019,ACIW,4063.4
1180,7/3/2019,ACIW,4065.7
1181,7/2/2019,ACIW,4034.3
1182,7/1/2019,ACIW,4047.1
1183,6/28/2019,ACIW,4002.8
1184,6/27/2019,ACIW,3866.4
1185,6/26/2019,ACIW,3801.1
1186,6/25/2019,ACIW,3770.8
1187,6/24/2019,ACIW,3781.3
1188,6/21/2019,ACIW,3844.3
1189,6/20/2019,ACIW,3834.9
1190,6/19/2019,ACIW,3759.2
1191,6/18/2019,ACIW,3735.9
1192,6/17/2019,ACIW,3733.5
1193,6/14/2019,ACIW,3777.8
1194,6/13/2019,ACIW,3831.4
1195,6/12/2019,ACIW,3820.9
1196,6/11/2019,ACIW,3847.8
1197,6/10/2019,ACIW,3817.4
1198,6/7/2019,ACIW,3769.7
1199,6/6/2019,ACIW,3776.6
1200,6/5/2019,ACIW,3760.3
1201,6/4/2019,ACIW,3741.7
1202,6/3/2019,ACIW,3570.3
1203,5/31/2019,ACIW,3667.1
1204,5/30/2019,ACIW,3740.5
1205,5/29/2019,ACIW,3706.7
1206,5/28/2019,ACIW,3723
1207,5/24/2019,ACIW,3733.5
1208,5/23/2019,ACIW,3681.1
1209,5/22/2019,ACIW,3732.4
1210,5/21/2019,ACIW,3672.9
1211,5/20/2019,ACIW,3614.6
1212,5/17/2019,ACIW,3662.4
1213,5/16/2019,ACIW,3738.2
1214,5/15/2019,ACIW,3642.6
1215,5/14/2019,ACIW,3657.8
1216,5/13/2019,ACIW,3644.9
1217,5/10/2019,ACIW,3812.8
1218,5/9/2019,ACIW,3749.8
1219,5/8/2019,ACIW,3962.8
1220,5/7/2019,ACIW,3995.3
1221,5/6/2019,ACIW,4116.1
1222,5/3/2019,ACIW,4113.8
1223,5/2/2019,ACIW,4062.7
1224,5/1/2019,ACIW,4047.6
1225,4/30/2019,ACIW,4125.4
1226,4/29/2019,ACIW,4084.8
1227,4/26/2019,ACIW,4045.3
1228,4/25/2019,ACIW,4001.1
1229,4/24/2019,ACIW,4037.1
1230,4/23/2019,ACIW,4061.5
1231,4/22/2019,ACIW,3967.5
1232,4/18/2019,ACIW,3945.4
1233,4/17/2019,ACIW,3915.2
1234,4/16/2019,ACIW,4008.1
1235,4/15/2019,ACIW,4002.3
1236,4/12/2019,ACIW,3951.2
1237,4/11/2019,ACIW,3990.7
1238,4/10/2019,ACIW,3986
1239,4/9/2019,ACIW,3946.6
1240,4/8/2019,ACIW,3965.1
1241,4/5/2019,ACIW,3944.2
1242,4/4/2019,ACIW,3921
1243,4/3/2019,ACIW,3926.8
1244,4/2/2019,ACIW,3882.7
1245,4/1/2019,ACIW,3857.1
1246,3/29/2019,ACIW,3817.6
1247,3/28/2019,ACIW,3759.6
1248,3/27/2019,ACIW,3804.9
1249,3/26/2019,ACIW,3788.6
1250,3/25/2019,ACIW,3744.5
1251,3/22/2019,ACIW,3737.5
1252,3/21/2019,ACIW,3871.1
1253,3/20/2019,ACIW,3821.1
1254,3/19/2019,ACIW,3853.6
1255,3/18/2019,ACIW,3878
1256,3/15/2019,ACIW,3908.2
1257,3/14/2019,ACIW,3865.3
1258,3/13/2019,ACIW,3849
1259,3/12/2019,ACIW,3822.3
1260,3/11/2019,ACIW,3787.4
1261,3/12/2024,ACLS,3650.5
1262,3/11/2024,ACLS,3669.7
1263,3/8/2024,ACLS,3651.1
1264,3/7/2024,ACLS,3870.4
1265,3/6/2024,ACLS,3693.6
1266,3/5/2024,ACLS,3634.8
1267,3/4/2024,ACLS,3743.2
1268,3/1/2024,ACLS,3793.4
1269,2/29/2024,ACLS,3675.9
1270,2/28/2024,ACLS,3612.3
1271,2/27/2024,ACLS,3580.4
1272,2/26/2024,ACLS,3611.3
1273,2/23/2024,ACLS,3577.4
1274,2/22/2024,ACLS,3649.7
1275,2/21/2024,ACLS,3580
1276,2/20/2024,ACLS,3664.8
1277,2/16/2024,ACLS,3824.2
1278,2/15/2024,ACLS,3905.5
1279,2/14/2024,ACLS,3949.3
1280,2/13/2024,ACLS,3875.7
1281,2/12/2024,ACLS,4005.7
1282,2/9/2024,ACLS,4103.9
