date,ticker,marketcap
2020-12-09,FORM,3321.5
2020-12-08,FORM,3497.9
2020-12-07,FORM,3431.4
2020-12-04,FORM,3393.5
2020-12-03,FORM,3240.2
2020-12-02,FORM,3178.7
2020-12-01,FORM,3204.6
2020-11-30,FORM,3172.9
2020-11-27,FORM,3215.5
2020-11-25,FORM,3170.6
2020-11-24,FORM,3184.5
2020-11-23,FORM,3159.8
2020-11-20,FORM,3073.1
2020-11-19,FORM,3083.9
2020-11-18,FORM,3057.6
2020-11-17,FORM,3083.9
2020-11-16,FORM,3130.7
2020-11-13,FORM,2903.6
2020-11-12,FORM,2814.6
2020-11-11,FORM,2813.8
2020-11-10,FORM,2727.9
2020-11-09,FORM,2716.3
2020-11-06,FORM,2615.7
2020-11-05,FORM,2597.1
2020-11-04,FORM,2511.2
2020-11-03,FORM,2418.4
2020-11-02,FORM,2253.2
2020-10-30,FORM,2184.6
2020-10-29,FORM,2220.1
2020-10-28,FORM,2155.3
2020-10-27,FORM,2248.6
2020-10-26,FORM,2233.2
2020-10-23,FORM,2282.5
2020-10-22,FORM,2282.5
2020-10-21,FORM,2260.9
2020-10-20,FORM,2257.8
2020-10-19,FORM,2264.0
2020-10-16,FORM,2241.6
2020-10-15,FORM,2266.3
2020-10-14,FORM,2279.4
2020-10-13,FORM,2279.4
2020-10-12,FORM,2241.6
2020-10-09,FORM,2240.9
2020-10-08,FORM,2118.3
2020-10-07,FORM,2041.7
2020-10-06,FORM,2021.3
2020-10-05,FORM,2008.9
2020-10-02,FORM,1944.2
2020-10-01,FORM,1995.1
2020-09-30,FORM,1921.1
2020-09-29,FORM,1929.6
2020-09-28,FORM,1907.2
2020-09-25,FORM,1844.8
2020-09-24,FORM,1854.8
2020-09-23,FORM,1837.9
2020-09-22,FORM,1891.8
2020-09-21,FORM,1887.9
2020-09-18,FORM,1876.4
2020-09-17,FORM,1862.5
2020-09-16,FORM,1839.4
2020-09-15,FORM,1839.4
2020-09-14,FORM,1780.8
2020-09-11,FORM,1728.4
2020-09-10,FORM,1736.1
2020-09-09,FORM,1799.3
2020-09-08,FORM,1740.0
2020-09-04,FORM,1857.5
2020-09-03,FORM,1964.2
2020-09-02,FORM,2105.2
2020-09-01,FORM,2065.2
2020-08-31,FORM,2013.5
2020-08-28,FORM,2090.6
2020-08-27,FORM,2037.4
2020-08-26,FORM,2102.2
2020-08-25,FORM,2116.8
2020-08-24,FORM,2110.6
2020-08-21,FORM,2136.8
2020-08-20,FORM,2160.0
2020-08-19,FORM,2222.4
2020-08-18,FORM,2246.3
2020-08-17,FORM,2254.0
2020-08-14,FORM,2198.5
2020-08-13,FORM,2206.2
2020-08-12,FORM,2255.5
2020-08-11,FORM,2171.1
2020-08-10,FORM,2147.6
2020-08-07,FORM,2183.8
2020-08-06,FORM,2195.8
2020-08-05,FORM,2296.3
